"X0","X1","X2","X3"
-2.2950592648392854e+00,-1.2376310948849096e+00,1.0452865591972599e-01,3.3156435626102060e-01
-3.9125444212110272e-01,-9.3803061680777766e-01,5.9429978438322806e-01,-2.2229958553550211e-01
-4.4747243539350334e-01,-4.0553039043416894e-01,-2.6014086779700885e-01,1.1012923973646449e-01
-6.4660157729005729e-01,-8.2001047546881722e-01,-4.1502211627259583e-01,-4.3194935267230594e-01
2.4660951800549036e-01,2.1553498322208613e+00,1.1897850357602158e+00,-1.6784614088978783e-01
-6.8649710218195303e-01,-9.4764627150578518e-01,4.6602129129538497e-02,1.4654731740662594e-01
-9.1959827992951670e-01,1.6928274316563402e-01,-3.5062040251528748e-01,-3.3124897730385722e-01
-1.3856737902519516e+00,-4.0526744590503849e-01,-2.7881850810674158e-01,-3.2192822133173910e-01
7.5721021626561713e-01,1.0717303259555422e+00,6.3282253417619894e-01,2.2463537407631390e-01
1.5485264787498804e-01,-1.5387524986468265e-01,-9.3915985176823402e-01,-1.3611052825973624e+00
1.7413165080463347e-01,9.6417167162676753e-01,7.0049650428566601e-01,7.2379261688831409e-01
8.7060809034347320e-01,-1.0846465810926582e+00,-6.7986317974622990e-01,1.0937900863921407e-01
2.5012013302707714e-01,1.9732103020526313e+00,8.6663441080359704e-01,-1.8521599278536371e-01
-7.3647172691483542e-01,-1.1303223294284668e+00,-5.7421027709498151e-01,5.0694176325846241e-01
2.4236805517917612e+00,8.6234441010012386e-01,2.1273840542826689e-01,5.7256107691035429e-01
-2.1410914473868972e+00,-1.5196232411619439e+00,7.3648466269931223e-01,5.5589593983066143e-01
-2.0358444023322952e-01,3.4919022673394307e-01,3.8100981155920283e-01,-1.0343226309619380e+00
-2.8652507106661225e+00,2.1963316196385951e-01,2.0284799447984598e+00,-1.7913118628975816e-01
8.6460534821004431e-01,-4.6602271578343679e-02,-1.5500689862919002e+00,1.8304155034251006e+00
9.6729710390358703e-01,-1.0816030185789482e+00,1.3758002785522827e+00,-1.4495100731961470e+00
8.5613408019214221e-01,7.2233522208994927e-01,1.3073612922302047e-01,-1.2613325643592996e+00
1.2316801413451839e+00,1.6536510072378676e+00,1.3559045397003253e-01,8.4358350321198206e-01
-6.1553716707606398e-01,-5.1387081584797578e-01,1.3181694011899405e+00,-4.1943615098108900e-02
-1.0856280817838506e-02,1.5667313735338668e+00,-2.9702177893467135e-01,-8.2387920118011138e-01
-9.0362131515169708e-01,3.2493910508882518e-01,-2.1959343633193240e-01,-1.5543407438956478e+00
-2.0352519886334801e+00,5.1894075487711622e-01,8.7980378677046134e-01,-6.5597962331076820e-01
1.5642656663134891e+00,-7.7188693631527694e-02,3.2415138633452706e-01,-7.7763964218360987e-03
1.7538324257608215e+00,3.6335721666874382e-01,-2.5130141321762986e-02,-7.0440280677873085e-02
-5.7118487650121841e-01,1.0640774879365328e-01,-8.3789744501335439e-01,2.5439960827723118e-01
1.9945073329572494e+00,1.0799802788983901e+00,-1.3727223720159076e+00,-4.3601165017138843e-01
-6.5418883076885237e-01,-1.7909964137331236e-01,9.4617985014862238e-01,-3.9130140382034029e-01
-4.2289607582766264e-01,-5.3880879473832100e-01,-1.2006306057998679e+00,9.7574123464101370e-01
2.3425961163895231e-01,-3.3576129082109107e-02,-5.3923866056451253e-01,6.2994912270819969e-01
-5.3282741752078727e-02,8.0935733047593550e-01,1.1251080171651568e+00,8.8870369284678263e-01
5.0060649900981025e-01,-9.1217842559791773e-01,1.1370731519897224e+00,-1.4055510295140294e+00
2.0967510874870641e+00,-7.2881291657689173e-01,1.4516963225495496e+00,-2.2567521941006623e+00
-2.5746902306602601e+00,-1.2327510395545980e+00,-1.2920449330944763e+00,-9.1662419982112942e-02
1.2404499598819447e+00,-1.5586214797584802e-01,-1.2176565699489050e+00,-3.9357032999793662e-01
4.4282210475235041e-02,-3.6606044889687550e-01,-8.7659902003579915e-01,9.7725821783631284e-01
1.0069531325306600e+00,7.4050717586178472e-01,-1.3246015788511796e+00,3.5596480475713616e-01
